ZIP,Month,Usage (GAL),Avg_Temp_F,Total_Rainfall_Inches,Avg_Humidity_Percent,Season,Population_Density
79821,2023-04,3271004.0,73.0,0.3,38.0,Spring,3200.0
79821,2023-05,3402652.0,82.0,0.2,32.0,Spring,3200.0
79821,2023-06,4204508.0,91.0,0.1,25.0,Summer,3200.0
79821,2023-07,4577012.0,97.0,0.0,20.0,Summer,3200.0
79821,2023-08,4790192.0,94.0,0.0,22.0,Summer,3200.0
79821,2023-09,3637524.0,86.0,0.2,30.0,Fall,3200.0
79821,2023-10,3117664.0,76.0,0.3,40.0,Fall,3200.0
79821,2023-11,2826692.0,66.0,0.2,45.0,Fall,3200.0
79821,2023-12,2205104.0,56.0,0.4,50.0,Winter,3200.0
79821,2024-01,2567884.0,57.0,0.3,50.0,Winter,3200.0
79821,2024-02,1898424.0,62.0,0.2,45.0,Winter,3200.0
79821,2024-03,3072036.0,68.0,0.2,42.0,Spring,3200.0
79821,2024-04,3275492.0,74.0,0.3,38.0,Spring,3200.0
79821,2024-05,4390012.0,83.0,0.2,32.0,Spring,3200.0
79821,2024-06,4221712.0,92.0,0.1,25.0,Summer,3200.0
79821,2024-07,4621144.0,98.0,0.0,20.0,Summer,3200.0
79821,2024-08,4091560.0,,,,,
79821,2024-09,3857436.0,,,,,
79821,2024-10,4157384.0,,,,,
79821,2024-11,2476628.0,,,,,
79821,2024-12,2831180.0,,,,,
79821,2025-01,3116168.0,,,,,
79821,2025-02,2345728.0,,,,,
79821,2025-03,3570204.0,,,,,
79821,2025-04,19448.0,,,,,
79835,2018-10,0.0,,,,,
79835,2020-02,1178848.0,,,,,
79835,2020-03,2740672.0,,,,,
79835,2020-04,3431824.0,,,,,
79835,2020-05,3904560.0,,,,,
79835,2020-06,4356352.0,,,,,
79835,2020-07,4639844.0,,,,,
79835,2020-08,3981604.0,,,,,
79835,2020-09,3804328.0,,,,,
79835,2020-10,3328600.0,,,,,
79835,2020-11,2844644.0,,,,,
79835,2020-12,3021920.0,,,,,
79835,2021-01,2914956.0,,,,,
79835,2021-02,2495328.0,,,,,
79835,2021-03,2903736.0,,,,,
79835,2021-04,3085500.0,,,,,
79835,2021-05,3324112.0,,,,,
79835,2021-06,3833500.0,,,,,
79835,2021-07,3347300.0,,,,,
79835,2021-08,3440800.0,,,,,
79835,2021-09,3454264.0,,,,,
79835,2021-10,2818464.0,,,,,
79835,2021-11,2730948.0,,,,,
79835,2021-12,2931412.0,,,,,
79835,2022-01,2670376.0,55.0,0.4,50.0,Winter,3200.0
79835,2022-02,2158240.0,60.0,0.2,45.0,Winter,3200.0
79835,2022-03,3386700.0,65.0,0.3,40.0,Spring,3200.0
79835,2022-04,2843408.0,70.0,0.5,35.0,Spring,3200.0
79835,2022-05,3107208.0,80.0,0.2,30.0,Spring,3200.0
79835,2022-06,3754212.0,90.0,0.1,25.0,Summer,3200.0
79835,2022-07,3688648.0,95.0,0.0,20.0,Summer,3200.0
79835,2022-08,3379220.0,93.0,0.0,22.0,Summer,3200.0
79835,2022-09,3302680.0,85.0,0.3,30.0,Fall,3200.0
79835,2022-10,2873328.0,75.0,0.4,40.0,Fall,3200.0
79835,2022-11,3043872.0,65.0,0.2,45.0,Fall,3200.0
79835,2022-12,3000228.0,55.0,0.5,50.0,Winter,3200.0
79835,2023-01,3143096.0,56.0,0.3,50.0,Winter,3200.0
79835,2023-02,2394852.0,61.0,0.2,45.0,Winter,3200.0
79835,2023-03,3350292.0,67.0,0.2,42.0,Spring,3200.0
79835,2023-04,3350048.0,73.0,0.3,38.0,Spring,3200.0
79835,2023-05,3458004.0,82.0,0.2,32.0,Spring,3200.0
79835,2023-06,4237924.0,91.0,0.1,25.0,Summer,3200.0
79835,2023-07,4163384.0,97.0,0.0,20.0,Summer,3200.0
79835,2023-08,4408468.0,94.0,0.0,22.0,Summer,3200.0
79835,2023-09,3853208.0,86.0,0.2,30.0,Fall,3200.0
79835,2023-10,3603864.0,76.0,0.3,40.0,Fall,3200.0
79835,2023-11,3228124.0,66.0,0.2,45.0,Fall,3200.0
79835,2023-12,3275492.0,56.0,0.4,50.0,Winter,3200.0
79835,2024-01,3403904.0,57.0,0.3,50.0,Winter,3200.0
79835,2024-02,2651416.0,62.0,0.2,45.0,Winter,3200.0
79835,2024-03,3612092.0,68.0,0.2,42.0,Spring,3200.0
79835,2024-04,3690160.0,74.0,0.3,38.0,Spring,3200.0
79835,2024-05,4451608.0,83.0,0.2,32.0,Spring,3200.0
79835,2024-06,4961988.0,92.0,0.1,25.0,Summer,3200.0
79835,2024-07,5767096.0,98.0,0.0,20.0,Summer,3200.0
79835,2024-08,5263448.0,,,,,
79835,2024-09,4849544.0,,,,,
79835,2024-10,5005372.0,,,,,
79835,2024-11,4032484.0,,,,,
79835,2024-12,4612932.0,,,,,
79835,2025-01,4953760.0,,,,,
79835,2025-02,3684420.0,,,,,
79835,2025-03,4797184.0,,,,,
79835,2025-04,1619192.0,,,,,
79835-8494  ,2020-03,2992.0,,,,,
79835-8494  ,2020-04,7480.0,,,,,
79835-8494  ,2020-05,7480.0,,,,,
79835-8494  ,2020-06,8976.0,,,,,
79835-8494  ,2020-07,10472.0,,,,,
79835-8494  ,2020-08,7480.0,,,,,
79835-8494  ,2020-09,5984.0,,,,,
79835-8494  ,2020-10,5984.0,,,,,
79835-8494  ,2020-11,5984.0,,,,,
79835-8494  ,2020-12,7480.0,,,,,
79835-8494  ,2021-01,4488.0,,,,,
79835-8494  ,2021-02,5984.0,,,,,
79835-8494  ,2021-03,5984.0,,,,,
79835-8494  ,2021-04,4488.0,,,,,
79835-8494  ,2021-05,5984.0,,,,,
79835-8494  ,2021-06,5984.0,,,,,
79835-8494  ,2021-07,4488.0,,,,,
79835-8494  ,2021-08,5984.0,,,,,
79835-8494  ,2021-09,5984.0,,,,,
79835-8494  ,2021-10,4488.0,,,,,
79835-8494  ,2021-11,5984.0,,,,,
79835-8494  ,2021-12,4488.0,,,,,
79835-8494  ,2022-01,4488.0,55.0,0.4,50.0,Winter,3200.0
79835-8494  ,2022-02,4488.0,60.0,0.2,45.0,Winter,3200.0
79835-8494  ,2022-03,5984.0,65.0,0.3,40.0,Spring,3200.0
79835-8494  ,2022-04,4488.0,70.0,0.5,35.0,Spring,3200.0
79835-8494  ,2022-05,5984.0,80.0,0.2,30.0,Spring,3200.0
79835-8494  ,2022-06,5984.0,90.0,0.1,25.0,Summer,3200.0
79835-8494  ,2022-07,5984.0,95.0,0.0,20.0,Summer,3200.0
79835-8494  ,2022-08,4488.0,93.0,0.0,22.0,Summer,3200.0
79835-8494  ,2022-09,4488.0,85.0,0.3,30.0,Fall,3200.0
79835-8494  ,2022-10,5984.0,75.0,0.4,40.0,Fall,3200.0
79835-8494  ,2022-11,5984.0,65.0,0.2,45.0,Fall,3200.0
79835-8494  ,2022-12,7480.0,55.0,0.5,50.0,Winter,3200.0
79835-8494  ,2023-01,7480.0,56.0,0.3,50.0,Winter,3200.0
79835-8494  ,2023-02,5984.0,61.0,0.2,45.0,Winter,3200.0
79835-8494  ,2023-03,8976.0,67.0,0.2,42.0,Spring,3200.0
79835-8494  ,2023-04,7480.0,73.0,0.3,38.0,Spring,3200.0
79835-8494  ,2023-05,5984.0,82.0,0.2,32.0,Spring,3200.0
79835-8494  ,2023-06,13464.0,91.0,0.1,25.0,Summer,3200.0
79835-8494  ,2023-07,10472.0,97.0,0.0,20.0,Summer,3200.0
79835-8494  ,2023-08,7480.0,94.0,0.0,22.0,Summer,3200.0
79835-8494  ,2023-09,7480.0,86.0,0.2,30.0,Fall,3200.0
79835-8494  ,2023-10,8976.0,76.0,0.3,40.0,Fall,3200.0
79835-8494  ,2023-11,7480.0,66.0,0.2,45.0,Fall,3200.0
79835-8494  ,2023-12,2992.0,56.0,0.4,50.0,Winter,3200.0
79835-8494  ,2024-01,5984.0,57.0,0.3,50.0,Winter,3200.0
79835-8494  ,2024-02,5984.0,62.0,0.2,45.0,Winter,3200.0
79835-8494  ,2024-03,5984.0,68.0,0.2,42.0,Spring,3200.0
79835-8494  ,2024-04,7480.0,74.0,0.3,38.0,Spring,3200.0
79835-8494  ,2024-05,5984.0,83.0,0.2,32.0,Spring,3200.0
79835-8494  ,2024-06,5984.0,92.0,0.1,25.0,Summer,3200.0
79835-8494  ,2024-07,5984.0,98.0,0.0,20.0,Summer,3200.0
79835-8494  ,2024-08,4488.0,,,,,
79835-8494  ,2024-09,5984.0,,,,,
79835-8494  ,2024-10,8976.0,,,,,
79835-8494  ,2024-11,7480.0,,,,,
79835-8494  ,2024-12,7480.0,,,,,
79835-8494  ,2025-01,10472.0,,,,,
79835-8494  ,2025-02,4488.0,,,,,
79835-8494  ,2025-03,5984.0,,,,,
79839,2025-03,3732520.0,,,,,
79901,2020-02,572968.0,,,,,
79901,2020-03,2701776.0,,,,,
79901,2020-04,2610520.0,,,,,
79901,2020-05,2733192.0,,,,,
79901,2020-06,3579928.0,,,,,
79901,2020-07,3312892.0,,,,,
79901,2020-08,3627052.0,,,,,
79901,2020-09,3516348.0,,,,,
79901,2020-10,3132624.0,,,,,
79901,2020-11,3152820.0,,,,,
79901,2020-12,2840156.0,,,,,
79901,2021-01,2888776.0,,,,,
79901,2021-02,2647920.0,,,,,
79901,2021-03,2766104.0,,,,,
79901,2021-04,2613512.0,,,,,
79901,2021-05,2413796.0,,,,,
79901,2021-06,2912712.0,,,,,
79901,2021-07,3226124.0,,,,,
79901,2021-08,3140104.0,,,,,
79901,2021-09,3083256.0,,,,,
79901,2021-10,2727956.0,,,,,
79901,2021-11,2791536.0,,,,,
79901,2021-12,2635204.0,,,,,
79901,2022-01,2615756.0,55.0,0.4,50.0,Winter,3200.0
79901,2022-02,2220812.0,60.0,0.2,45.0,Winter,3200.0
79901,2022-03,2814724.0,65.0,0.3,40.0,Spring,3200.0
79901,2022-04,2583592.0,70.0,0.5,35.0,Spring,3200.0
79901,2022-05,2936648.0,80.0,0.2,30.0,Spring,3200.0
79901,2022-06,3160300.0,90.0,0.1,25.0,Summer,3200.0
79901,2022-07,3160300.0,95.0,0.0,20.0,Summer,3200.0
79901,2022-08,3083256.0,93.0,0.0,22.0,Summer,3200.0
79901,2022-09,3189472.0,85.0,0.3,30.0,Fall,3200.0
79901,2022-10,3298680.0,75.0,0.4,40.0,Fall,3200.0
79901,2022-11,2724964.0,65.0,0.2,45.0,Fall,3200.0
79901,2022-12,2747404.0,55.0,0.5,50.0,Winter,3200.0
79901,2023-01,3180496.0,56.0,0.3,50.0,Winter,3200.0
79901,2023-02,2598552.0,61.0,0.2,45.0,Winter,3200.0
79901,2023-03,3028652.0,67.0,0.2,42.0,Spring,3200.0
79901,2023-04,3152072.0,73.0,0.3,38.0,Spring,3200.0
79901,2023-05,2752640.0,82.0,0.2,32.0,Spring,3200.0
79901,2023-06,3059320.0,91.0,0.1,25.0,Summer,3200.0
79901,2023-07,3698860.0,97.0,0.0,20.0,Summer,3200.0
79901,2023-08,3590400.0,94.0,0.0,22.0,Summer,3200.0
79901,2023-09,3392180.0,86.0,0.2,30.0,Fall,3200.0
79901,2023-10,2656148.0,76.0,0.3,40.0,Fall,3200.0
79901,2023-11,2603040.0,66.0,0.2,45.0,Fall,3200.0
79901,2023-12,2572372.0,56.0,0.4,50.0,Winter,3200.0
79901,2024-01,2917948.0,57.0,0.3,50.0,Winter,3200.0
79901,2024-02,2403324.0,62.0,0.2,45.0,Winter,3200.0
79901,2024-03,2637448.0,68.0,0.2,42.0,Spring,3200.0
79901,2024-04,2695792.0,74.0,0.3,38.0,Spring,3200.0
79901,2024-05,2558908.0,83.0,0.2,32.0,Spring,3200.0
79901,2024-06,2887280.0,92.0,0.1,25.0,Summer,3200.0
79901,2024-07,3469224.0,98.0,0.0,20.0,Summer,3200.0
79901,2024-08,3083256.0,,,,,
79901,2024-09,3052588.0,,,,,
79901,2024-10,2740672.0,,,,,
79901,2024-11,2605284.0,,,,,
79901,2024-12,2609024.0,,,,,
79901,2025-01,2546192.0,,,,,
79901,2025-02,2371908.0,,,,,
79901,2025-03,2489344.0,,,,,
79901,2025-04,2486352.0,,,,,
79901-3547  ,2020-03,7480.0,,,,,
79901-3547  ,2020-04,8976.0,,,,,
79901-3547  ,2020-05,8976.0,,,,,
79901-3547  ,2020-06,7480.0,,,,,
79901-3547  ,2020-07,8976.0,,,,,
79901-3547  ,2020-08,10472.0,,,,,
79901-3547  ,2020-09,7480.0,,,,,
79901-3547  ,2020-10,7480.0,,,,,
79901-3547  ,2020-11,5984.0,,,,,
79901-3547  ,2020-12,7480.0,,,,,
79901-3547  ,2021-01,5984.0,,,,,
79901-3547  ,2021-02,5984.0,,,,,
79901-3547  ,2021-03,5984.0,,,,,
79901-3547  ,2021-04,7480.0,,,,,
79901-3547  ,2021-05,8976.0,,,,,
79901-3547  ,2021-06,5984.0,,,,,
79901-3547  ,2021-07,5984.0,,,,,
79901-3547  ,2021-08,7480.0,,,,,
79901-3547  ,2021-09,7480.0,,,,,
79901-3547  ,2021-10,4488.0,,,,,
79901-3547  ,2021-11,5984.0,,,,,
79901-3547  ,2021-12,5984.0,,,,,
79901-3547  ,2022-01,7480.0,55.0,0.4,50.0,Winter,3200.0
79901-3547  ,2022-02,5984.0,60.0,0.2,45.0,Winter,3200.0
79901-3547  ,2022-03,11968.0,65.0,0.3,40.0,Spring,3200.0
79901-3547  ,2022-04,4488.0,70.0,0.5,35.0,Spring,3200.0
79901-3547  ,2022-05,8976.0,80.0,0.2,30.0,Spring,3200.0
79901-3547  ,2022-06,8976.0,90.0,0.1,25.0,Summer,3200.0
79901-3547  ,2022-07,7480.0,95.0,0.0,20.0,Summer,3200.0
79901-3547  ,2022-08,5984.0,93.0,0.0,22.0,Summer,3200.0
79901-3547  ,2022-09,0.0,85.0,0.3,30.0,Fall,3200.0
79901-3547  ,2022-10,5984.0,75.0,0.4,40.0,Fall,3200.0
79901-3547  ,2022-11,5984.0,65.0,0.2,45.0,Fall,3200.0
79901-3547  ,2022-12,7480.0,55.0,0.5,50.0,Winter,3200.0
79901-3547  ,2023-01,7480.0,56.0,0.3,50.0,Winter,3200.0
79901-3547  ,2023-02,5984.0,61.0,0.2,45.0,Winter,3200.0
79901-3547  ,2023-03,5984.0,67.0,0.2,42.0,Spring,3200.0
79901-3547  ,2023-04,5984.0,73.0,0.3,38.0,Spring,3200.0
79901-3547  ,2023-05,7480.0,82.0,0.2,32.0,Spring,3200.0
79901-3547  ,2023-06,5984.0,91.0,0.1,25.0,Summer,3200.0
79901-3547  ,2023-07,5984.0,97.0,0.0,20.0,Summer,3200.0
79901-3547  ,2023-08,7480.0,94.0,0.0,22.0,Summer,3200.0
79901-3547  ,2023-09,7480.0,86.0,0.2,30.0,Fall,3200.0
79901-3547  ,2023-10,10472.0,76.0,0.3,40.0,Fall,3200.0
79901-3547  ,2023-11,5984.0,66.0,0.2,45.0,Fall,3200.0
79901-3547  ,2023-12,5984.0,56.0,0.4,50.0,Winter,3200.0
79901-3547  ,2024-01,5984.0,57.0,0.3,50.0,Winter,3200.0
79901-3547  ,2024-02,5984.0,62.0,0.2,45.0,Winter,3200.0
79901-3547  ,2024-03,5984.0,68.0,0.2,42.0,Spring,3200.0
79901-3547  ,2024-04,5984.0,74.0,0.3,38.0,Spring,3200.0
79901-3547  ,2024-05,7480.0,83.0,0.2,32.0,Spring,3200.0
79901-3547  ,2024-06,5984.0,92.0,0.1,25.0,Summer,3200.0
79901-3547  ,2024-07,5984.0,98.0,0.0,20.0,Summer,3200.0
79901-3547  ,2024-08,5984.0,,,,,
79901-3547  ,2024-09,5984.0,,,,,
79901-3547  ,2024-10,5984.0,,,,,
79901-3547  ,2024-11,5984.0,,,,,
79901-3547  ,2024-12,5984.0,,,,,
79901-3547  ,2025-01,8976.0,,,,,
79901-3547  ,2025-02,7480.0,,,,,
79901-3547  ,2025-03,5984.0,,,,,
79901-3547  ,2025-04,4488.0,,,,,
79902,2020-02,14960.0,,,,,
79902,2020-03,6913764.0,,,,,
79902,2020-04,9577392.0,,,,,
79902,2020-05,11441408.0,,,,,
79902,2020-06,13698124.0,,,,,
79902,2020-07,14790952.0,,,,,
79902,2020-08,13483448.0,,,,,
79902,2020-09,12229052.0,,,,,
79902,2020-10,11261140.0,,,,,
79902,2020-11,8885492.0,,,,,
79902,2020-12,8225008.0,,,,,
79902,2021-01,7405200.0,,,,,
79902,2021-02,6438036.0,,,,,
79902,2021-03,8129264.0,,,,,
79902,2021-04,9828720.0,,,,,
79902,2021-05,10751752.0,,,,,
79902,2021-06,13003980.0,,,,,
79902,2021-07,10318660.0,,,,,
79902,2021-08,10023948.0,,,,,
79902,2021-09,11593252.0,,,,,
79902,2021-10,10158588.0,,,,,
79902,2021-11,9062020.0,,,,,
79902,2021-12,7959468.0,,,,,
79902,2022-01,6966872.0,55.0,0.4,50.0,Winter,3200.0
79902,2022-02,5354184.0,60.0,0.2,45.0,Winter,3200.0
79902,2022-03,8418740.0,65.0,0.3,40.0,Spring,3200.0
79902,2022-04,8525704.0,70.0,0.5,35.0,Spring,3200.0
79902,2022-05,10772696.0,80.0,0.2,30.0,Spring,3200.0
79902,2022-06,12721236.0,90.0,0.1,25.0,Summer,3200.0
79902,2022-07,12612028.0,95.0,0.0,20.0,Summer,3200.0
79902,2022-08,10931272.0,93.0,0.0,22.0,Summer,3200.0
79902,2022-09,9658924.0,85.0,0.3,30.0,Fall,3200.0
79902,2022-10,8497280.0,75.0,0.4,40.0,Fall,3200.0
79902,2022-11,7635584.0,65.0,0.2,45.0,Fall,3200.0
79902,2022-12,7300480.0,55.0,0.5,50.0,Winter,3200.0
79902,2023-01,7194264.0,56.0,0.3,50.0,Winter,3200.0
79902,2023-02,5100612.0,61.0,0.2,45.0,Winter,3200.0
79902,2023-03,6987068.0,67.0,0.2,42.0,Spring,3200.0
79902,2023-04,9115876.0,73.0,0.3,38.0,Spring,3200.0
79902,2023-05,9901276.0,82.0,0.2,32.0,Spring,3200.0
79902,2023-06,11690492.0,91.0,0.1,25.0,Summer,3200.0
79902,2023-07,13205192.0,97.0,0.0,20.0,Summer,3200.0
79902,2023-08,12150512.0,94.0,0.0,22.0,Summer,3200.0
79902,2023-09,11291060.0,86.0,0.2,30.0,Fall,3200.0
79902,2023-10,9579636.0,76.0,0.3,40.0,Fall,3200.0
79902,2023-11,7337132.0,66.0,0.2,45.0,Fall,3200.0
79902,2023-12,7270560.0,56.0,0.4,50.0,Winter,3200.0
79902,2024-01,7318432.0,57.0,0.3,50.0,Winter,3200.0
79902,2024-02,5121556.0,62.0,0.2,45.0,Winter,3200.0
79902,2024-03,7704400.0,68.0,0.2,42.0,Spring,3200.0
79902,2024-04,8767308.0,74.0,0.3,38.0,Spring,3200.0
79902,2024-05,9786084.0,83.0,0.2,32.0,Spring,3200.0
79902,2024-06,11157168.0,92.0,0.1,25.0,Summer,3200.0
79902,2024-07,12365188.0,98.0,0.0,20.0,Summer,3200.0
79902,2024-08,11075636.0,,,,,
79902,2024-09,11101068.0,,,,,
79902,2024-10,10391216.0,,,,,
79902,2024-11,8732152.0,,,,,
79902,2024-12,7965452.0,,,,,
79902,2025-01,7071592.0,,,,,
79902,2025-02,5907704.0,,,,,
79902,2025-03,7703652.0,,,,,
79902,2025-04,9273704.0,,,,,
79902-1706  ,2020-03,7480.0,,,,,
79902-1706  ,2020-04,10472.0,,,,,
79902-1706  ,2020-05,22440.0,,,,,
79902-1706  ,2020-06,22440.0,,,,,
79902-1706  ,2020-07,22440.0,,,,,
79902-1706  ,2020-08,31416.0,,,,,
79902-1706  ,2020-09,23936.0,,,,,
79902-1706  ,2020-10,16456.0,,,,,
79902-1706  ,2020-11,11968.0,,,,,
79902-1706  ,2020-12,4488.0,,,,,
79902-1706  ,2021-01,7480.0,,,,,
79902-1706  ,2021-02,10472.0,,,,,
79902-1706  ,2021-03,10472.0,,,,,
79902-1706  ,2021-04,23936.0,,,,,
79902-1706  ,2021-05,20944.0,,,,,
79902-1706  ,2021-06,34408.0,,,,,
79902-1706  ,2021-07,25432.0,,,,,
79902-1706  ,2021-08,14960.0,,,,,
79902-1706  ,2021-09,14960.0,,,,,
79902-1706  ,2021-10,22440.0,,,,,
79902-1706  ,2021-11,5984.0,,,,,
79902-1706  ,2021-12,2992.0,,,,,
79902-1706  ,2022-01,4488.0,55.0,0.4,50.0,Winter,3200.0
79902-1706  ,2022-02,1496.0,60.0,0.2,45.0,Winter,3200.0
79902-1706  ,2022-03,2992.0,65.0,0.3,40.0,Spring,3200.0
79902-1706  ,2022-04,4488.0,70.0,0.5,35.0,Spring,3200.0
79902-1706  ,2022-05,17952.0,80.0,0.2,30.0,Spring,3200.0
79902-1706  ,2022-06,14960.0,90.0,0.1,25.0,Summer,3200.0
79902-1706  ,2022-07,17952.0,95.0,0.0,20.0,Summer,3200.0
79902-1706  ,2022-08,11968.0,93.0,0.0,22.0,Summer,3200.0
79902-1706  ,2022-09,8976.0,85.0,0.3,30.0,Fall,3200.0
79902-1706  ,2022-10,4488.0,75.0,0.4,40.0,Fall,3200.0
79902-1706  ,2022-11,7480.0,65.0,0.2,45.0,Fall,3200.0
79902-1706  ,2022-12,2992.0,55.0,0.5,50.0,Winter,3200.0
79902-1706  ,2023-01,4488.0,56.0,0.3,50.0,Winter,3200.0
79902-1706  ,2023-02,1496.0,61.0,0.2,45.0,Winter,3200.0
79902-1706  ,2023-03,1496.0,67.0,0.2,42.0,Spring,3200.0
79902-1706  ,2023-04,4488.0,73.0,0.3,38.0,Spring,3200.0
79902-1706  ,2023-05,8976.0,82.0,0.2,32.0,Spring,3200.0
79902-1706  ,2023-06,10472.0,91.0,0.1,25.0,Summer,3200.0
79902-1706  ,2023-07,26928.0,97.0,0.0,20.0,Summer,3200.0
79902-1706  ,2023-08,31416.0,94.0,0.0,22.0,Summer,3200.0
79902-1706  ,2023-09,23936.0,86.0,0.2,30.0,Fall,3200.0
79902-1706  ,2023-10,10472.0,76.0,0.3,40.0,Fall,3200.0
79902-1706  ,2023-11,1496.0,66.0,0.2,45.0,Fall,3200.0
79902-1706  ,2023-12,1496.0,56.0,0.4,50.0,Winter,3200.0
79902-1706  ,2024-01,2992.0,57.0,0.3,50.0,Winter,3200.0
79902-1706  ,2024-02,1496.0,62.0,0.2,45.0,Winter,3200.0
79902-1706  ,2024-03,10472.0,68.0,0.2,42.0,Spring,3200.0
79902-1706  ,2024-04,4488.0,74.0,0.3,38.0,Spring,3200.0
79902-1706  ,2024-05,1496.0,83.0,0.2,32.0,Spring,3200.0
79902-1706  ,2024-06,2992.0,92.0,0.1,25.0,Summer,3200.0
79902-1706  ,2024-07,2992.0,98.0,0.0,20.0,Summer,3200.0
79902-1706  ,2024-08,2992.0,,,,,
79902-1706  ,2024-09,7480.0,,,,,
79902-1706  ,2024-10,4488.0,,,,,
79902-1706  ,2024-11,1496.0,,,,,
79902-1706  ,2024-12,1496.0,,,,,
79902-1706  ,2025-01,4488.0,,,,,
79902-1706  ,2025-02,1496.0,,,,,
79902-1706  ,2025-03,1496.0,,,,,
79902-1706  ,2025-04,1496.0,,,,,
79903,2020-02,23936.0,,,,,
79903,2020-03,2772836.0,,,,,
79903,2020-04,2918696.0,,,,,
79903,2020-05,3969636.0,,,,,
79903,2020-06,5204584.0,,,,,
79903,2020-07,5042268.0,,,,,
79903,2020-08,5859832.0,,,,,
79903,2020-09,5057228.0,,,,,
79903,2020-10,4246396.0,,,,,
79903,2020-11,3900820.0,,,,,
79903,2020-12,3276240.0,,,,,
79903,2021-01,3321120.0,,,,,
79903,2021-02,2765356.0,,,,,
79903,2021-03,3115420.0,,,,,
79903,2021-04,3286712.0,,,,,
79903,2021-05,3968140.0,,,,,
79903,2021-06,4437136.0,,,,,
79903,2021-07,4897156.0,,,,,
79903,2021-08,4855268.0,,,,,
79903,2021-09,4069868.0,,,,,
79903,2021-10,4105024.0,,,,,
79903,2021-11,3624060.0,,,,,
79903,2021-12,3093728.0,,,,,
79903,2022-01,5369144.0,55.0,0.4,50.0,Winter,3200.0
79903,2022-02,87516.0,60.0,0.2,45.0,Winter,3200.0
79903,2022-03,2915704.0,65.0,0.3,40.0,Spring,3200.0
79903,2022-04,3778896.0,70.0,0.5,35.0,Spring,3200.0
79903,2022-05,3526072.0,80.0,0.2,30.0,Spring,3200.0
79903,2022-06,4173092.0,90.0,0.1,25.0,Summer,3200.0
79903,2022-07,4443868.0,95.0,0.0,20.0,Summer,3200.0
79903,2022-08,4647324.0,93.0,0.0,22.0,Summer,3200.0
79903,2022-09,3783384.0,85.0,0.3,30.0,Fall,3200.0
79903,2022-10,3981604.0,75.0,0.4,40.0,Fall,3200.0
79903,2022-11,2889524.0,65.0,0.2,45.0,Fall,3200.0
79903,2022-12,3040620.0,55.0,0.5,50.0,Winter,3200.0
79903,2023-01,2928420.0,56.0,0.3,50.0,Winter,3200.0
79903,2023-02,2743664.0,61.0,0.2,45.0,Winter,3200.0
79903,2023-03,2870076.0,67.0,0.2,42.0,Spring,3200.0
79903,2023-04,3576936.0,73.0,0.3,38.0,Spring,3200.0
79903,2023-05,3877632.0,82.0,0.2,32.0,Spring,3200.0
79903,2023-06,4511188.0,91.0,0.1,25.0,Summer,3200.0
79903,2023-07,5176908.0,97.0,0.0,20.0,Summer,3200.0
79903,2023-08,5057228.0,94.0,0.0,22.0,Summer,3200.0
79903,2023-09,4295016.0,86.0,0.2,30.0,Fall,3200.0
79903,2023-10,4363084.0,76.0,0.3,40.0,Fall,3200.0
79903,2023-11,3452768.0,66.0,0.2,45.0,Fall,3200.0
79903,2023-12,3095224.0,56.0,0.4,50.0,Winter,3200.0
79903,2024-01,2947120.0,57.0,0.3,50.0,Winter,3200.0
79903,2024-02,2889524.0,62.0,0.2,45.0,Winter,3200.0
